UUID,Category,Sub category,Elementary flowname,Unit,resources - fossil fuels,resources - mineral extraction
a816a3b7-0e97-43c4-992e-6a4028316699,resource,unspecified,"Gas, natural, 46.8 MJ per kg, in ground",kg,0,0
ad9c08fd-ea91-415d-95a9-7eb5116dc97a,resource,in ground,"Gas, natural, at extraction site",kg,0,0
ded94170-7b12-4442-bbd3-a0b1260a4dd9,resource,unspecified,"Gas, natural, feedstock, 35 MJ per m3, in ground",m3,0,0
d508c71c-0761-421a-89e2-eb408051fe37,resource,unspecified,"Gas, natural, feedstock, 46.8 MJ per kg, in ground",kg,0,0
7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,resource,in ground,"Gas, natural, in ground",m3,0.10295,0
fe0acd60-3ddc-11dd-a6fa-0050c2490048,resource,in ground,"Gas, natural, in ground",kWh,0,0
77bb32cb-8876-4b2f-ae3a-7944fc1ef6c9,resource,unspecified,"Gas, natural, in ground",kWh,0,0
f752690a-1d38-4496-8e05-9de194966bd5,resource,unspecified,"Gas, natural, in ground",m3,0,0
72b01564-92f0-4d8e-ba33-80c71b19b113,resource,unspecified,"Gas, off-gas, oil production, in ground",m3,0,0
f70b9100-1667-4410-95bf-3e0f2ed7a46d,resource,unspecified,"Gas, petroleum, 35 MJ per m3, in ground",m3,0,0
fe0acd60-3ddc-11dd-a2bf-0050c2490048,resource,in ground,Gold,kg,0,0
e59196e8-0e9c-4503-996d-8615f1beb8a3,resource,unspecified,Gold,kg,0,0
ff741136-d6ee-444a-a15b-3b308e376db8,resource,in ground,"Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground",kg,0,0
987789bc-ec35-40a6-8c53-1db0d655fd60,resource,unspecified,"Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground",kg,0,0
7cd1d217-70a7-4452-abc4-3b1100763d6d,resource,in ground,"Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground",kg,0,0
ce585225-66bf-4972-be6c-d564c0a67df3,resource,unspecified,"Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground",kg,0,0
a8896ed6-4c9d-4b06-a356-49d8cdd9e9d7,resource,in ground,"Gold, Au 1.4E-4%, in ore, in ground",kg,0,0
2d65a3f7-2a10-4a10-ac9e-a0cc7cd57979,resource,in ground,"Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground",kg,0,0
8a9907a3-c364-47f5-9271-5c27cd106b2f,resource,unspecified,"Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground",kg,0,0
95268685-7bea-4883-a412-119d7e88372c,resource,in ground,"Gold, Au 4.3E-4%, in ore, in ground",kg,0,0
5fbf8f1a-b5d7-4d25-8512-532135aa86a1,resource,unspecified,"Gold, Au 4.3E-4%, in ore, in ground",kg,0,0
8c888d2b-d608-4dac-bad5-1c2a17050838,resource,in ground,"Gold, Au 4.9E-5%, in ore, in ground",kg,0,0
d02c4641-ada1-463d-98ff-fce0de839b2d,resource,unspecified,"Gold, Au 4.9E-5%, in ore, in ground",kg,0,0
3eece329-cf79-4167-93c2-b8d7d7eb5058,resource,in ground,"Gold, Au 6.7E-4%, in ore, in ground",kg,0,0
2619aa71-378c-415c-8ece-77ee28d7b9c5,resource,unspecified,"Gold, Au 6.7E-4%, in ore, in ground",kg,0,0
d28f9d42-5df5-41c3-be59-fdfa7ff57112,resource,in ground,"Gold, Au 7.1E-4%, in ore, in ground",kg,0,0
a5056cbf-a6f9-4095-b2dc-5055f4d28c9a,resource,unspecified,"Gold, Au 7.1E-4%, in ore, in ground",kg,0,0
cf3d3dbc-0e4b-402d-92a1-8ea6b4869ed5,resource,in ground,"Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground",kg,0,0
e778edad-4430-4d90-952b-baed9a0bc77c,resource,unspecified,"Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground",kg,0,0
a4375a18-172c-4f82-90b7-bca972f75548,resource,in ground,"Granite, in ground",kg,0,0
238f8ea9-98df-41dc-ab93-ea5b549a0b96,resource,in ground,"Gravel, in ground",kg,0,0
d8e5cb63-6a69-4b8f-a840-a55406a5f7fa,resource,land,Groundwater Replenishment,(mm*m2)/a,0,0
e3c8d565-1934-43c0-9967-99a353122d71,resource,land,Groundwater Replenishment,mm*m2,0,0
11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6,resource,in ground,"Gypsum, in ground",kg,0,0
9525b6c8-9996-4da5-a161-982ce8014e61,resource,in ground,hard coal;  26.3 MJ/kg,kWh,0,0
393cd19a-9b02-4b51-8127-dd348619d81e,resource,in air,Helium,kg,0,0
4c276350-de3d-4bba-90a9-0d0a9ad097c0,resource,in ground,"Helium, 0.08% in natural gas, in ground",kg,0,0
e80d4259-67b8-4d77-b218-cb4189d1974f,resource,in ground,holmium,kg,0,0
b3e3005d-dae5-4097-a2a2-78750b2e3c89,resource,in ground,indium,kg,0,0
e5cbe371-d33e-46ef-a832-a176f5e28520,resource,in ground,"Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd, in ground",kg,0,0
c50538ea-8461-47f0-8f6d-f946dee801d7,resource,in ground,Iodine,kg,0,0
7de77239-7074-4443-9dc9-4492c5e2ef35,resource,in water,"Iodine, 0.03% in water",kg,0,0
afb5140a-1ed1-4c08-becb-6fc27781d831,resource,in ground,"Iridium, in ground",kg,0,0
e35f1d5b-7e04-4315-92b1-16315de9a60a,resource,unspecified,"Iridium, in ground",kg,0,0
08a91e70-3ddc-11dd-959a-0050c2490048,resource,in ground,Iron,kg,0,0.0017172
3f891fb6-cf17-484d-a1a2-e63b45245648,resource,unspecified,Iron,kg,0,0.0017172
7ae398b5-8532-11e0-9d78-0800200c9a66,resource,in ground,"Iron ore, in ground",kg,0,0.0017172
f77aacc3-2c22-4bda-99ab-fe1110a1b891,resource,in ground,"Iron, 46% in ore, 25% in crude ore, in ground",kg,0,0.0017172
fe0acd60-3ddc-11dd-aab8-0050c2490048,resource,in ground,Kaolin,kg,0,0
ee540366-b970-46af-94d8-4c253ded5577,resource,in ground,"Kaolinite, 24% in crude ore, in ground",kg,0,0
292c9360-0700-4e86-bd60-1fde41754973,resource,in ground,kieserite,kg,0,0
38eff837-5465-47a9-a1c9-e1edd70922ef,resource,in ground,"Kieserite, 25% in crude ore, in ground",kg,0,0
4602b501-1c9b-4af7-bb1c-864c70c3e855,resource,in air,"Krypton, in air",kg,0,0
e2dd6951-2a4c-4651-bbc5-83c44b68a4d7,resource,land,Land use II-III,m2*a,0,0
d6d2a0ff-902a-4ed4-85cb-ccd61be3d562,resource,land,Land use II-IV,m2*a,0,0
ea00fa19-a543-48ec-bf06-98e2c14576a2,resource,land,Land use III-IV,m2*a,0,0
15f98b12-7233-4438-9372-4ee1cfd5d693,resource,in ground,Lanthanum,kg,0,0
d61418f3-c1a4-4b95-807c-06b7e1fa2915,resource,in ground,"Lanthanum, 7.2% in bastnasite, 0.72% in crude ore, in ground",kg,0,0
a9169083-392c-4d92-ad8e-8155fcecc61a,resource,in ground,lava,kg,0,0
fe0acd60-3ddc-11dd-ae5d-0050c2490048,resource,in ground,Lead,kg,0,0.24747
10e3b9bc-648f-4321-be48-5df740b07e04,resource,unspecified,Lead,kg,0,0.24747
eac29b52-5e5e-477c-813e-38a2495c5ae7,resource,in ground,"Lead, 5%, in sulfide, Pb 2.97% and Zn 5.34% in crude ore, in ground",kg,0,0.24747
4f701354-38fd-40b0-8c90-4c1df36ec45a,resource,in ground,"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground",kg,0,0.24747
2d9f9c6b-8dca-4641-8ff9-53cb8beabd13,resource,in ground,"Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore, in ground",kg,0,0.24747
4382a809-3099-4528-bbbf-5f6b1b3e719d,resource,unspecified,"Lead, Pb 0.014%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, in ore, in ground",kg,0,0.24747
978bbe5d-a301-4b1e-9760-a2dc1ea21192,resource,in ground,"Lead, zinc ore (4.6%, 0.6%)",kg,0,0
badefaa0-fb1e-4cb0-bac1-480058554f3c,resource,in ground,"Lignite, 11 MJ per kg, in ground",kg,0,0
537b8312-3f27-4d3c-859f-55d3f944f42d,resource,in ground,"Limestone, in ground",kg,0,0
1aeadede-4403-45c1-aed8-b742a0d57a02,resource,in ground,lithium,kg,0,0
a9ad523f-b721-4f07-ad9f-584053f3454d,resource,in ground,"Lithium, 0.15% in brine, in ground",kg,0,0
f6379ef2-ed2d-4a0d-815f-47c7afe2f114,resource,in ground,lutetium,kg,0,0
fe0acd60-3ddc-11dd-aabe-0050c2490048,resource,in ground,Magnesite,kg,0,0
d2bf022d-9cbf-4f19-a8ec-7f507746942b,resource,in ground,"Magnesite, 60% in crude ore, in ground",kg,0,0
fe0acd60-3ddc-11dd-aac3-0050c2490048,resource,in ground,Magnesium,kg,0,0
fe0acd60-3ddc-11dd-acd8-0050c2490048,resource,in ground,Magnesium chloride,kg,0,0
45b151c0-1bcf-4a51-85a2-b834588e1c87,resource,in ground,"Magnesium, 0.13% in water",kg,0,0
752d138f-3723-42c1-bf5c-ca5316809c4c,resource,in water,"Magnesium, 0.13% in water",kg,0,0
fe0acd60-3ddc-11dd-9e5c-0050c2490048,resource,in ground,Manganese,kg,0,0.010539
2737dccb-d7b8-4002-a3f5-1ab6e1c6515e,resource,unspecified,Manganese,kg,0,0.010539
4c4c1ef0-a32e-479f-992e-6523d854c316,resource,in ground,Manganese ore (R.O.M.),kg,0,0.010539
9877acaf-a633-411c-a815-22263c193ac1,resource,in ground,"Manganese ore, in ground",kg,0,0.010539
9f9f1f14-6eee-4067-b4a5-80e75fc7b295,resource,in ground,"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground",kg,0,0.010539
