UUID,Category,Sub category,Elementary flowname,Unit,acidification,ecotoxicity,eutrophication,globalwarming,ozonedepletion,photochemicaloxidation,carcinogenics,non-carcinogenics,respiratory.effects
cc5b74fe-d87f-4c3d-a749-30bbba1dfd5e,soil,unspecified,alpha-Pinene,kg,0,0,0,0,0,0,0,0,0
ff65658c-2d39-44a2-b23e-7ec3c644f064,air,unspecified,Aluminium,kg,0,7029.6,0,0,0,0,0,11174,0
e0401210-0377-4670-84af-12247ca20bed,soil,unspecified,Aluminium,kg,0,2155.1,0,0,0,0,0,8574.2,0
7880e65c-0321-4295-ba55-3186ad36e489,water,unspecified,Aluminium,kg,0,1843.7,0,0,0,0,0,20.486,0
f1346d21-41e1-45c1-bf42-5841635c6486,water,unspecified,"Aluminium, ion",kg,0,0,0,0,0,0,0,0,0
feca6ff6-f8b9-424e-9f43-7b5c4fe3f263,soil,unspecified,aluminium-fosfide,kg,0,0,0,0,0,0,0,0,0
7ae371a3-8532-11e0-9d78-0800200c9a66,air,unspecified,"Aluminum compounds, unspecified",kg,0,0,0,0,0,0,0,0,0
7ae371a4-8532-11e0-9d78-0800200c9a66,air,unspecified,"Aluminum, fume or dust",kg,0,0,0,0,0,0,0,0,0
a0e98cdc-79cd-4073-9713-c1a48238883a,air,unspecified,Americium-241,kBq,0,0,0,0,0,0,0,0,0
5b4e8ce5-8e37-41a7-ba1b-735ab0c650cb,soil,unspecified,Americium-241,kBq,0,0,0,0,0,0,0,0,0
bd601c88-f05e-436a-b4ab-5b3d4fb29882,water,unspecified,Americium-241,kBq,0,0,0,0,0,0,0,0,0
4e83bb6a-c2f8-4344-b989-a573347b2c62,soil,unspecified,Ametryn,kg,0,0,0,0,0,0,0,0,0
838de280-001c-4f2e-9602-3f7077a53fcc,soil,unspecified,Amidosulfuron,kg,0,0,0,0,0,0,0,0,0
f4d04945-bd24-4f48-97e4-f03be9f4cfdb,soil,unspecified,Amitraz,kg,0,0,0,0,0,0,0,0,0
87883a4e-1e3e-4c9d-90c0-f1bea36f8014,air,unspecified,Ammonia,kg,95.485,0.073798,0.1186,0,0,0,0,3.2061,0
d1ca3361-2621-40cd-9965-6236a4b3fd33,soil,unspecified,Ammonia,kg,0,0,0,0,0,0,0,0,0
63e78926-8549-11e0-9d78-0800200c9a66,water,unspecified,Ammonia,kg,0,0,0,0,0,0,0,0,0
c5ff9afc-4c08-40cb-9150-c2465be5cd3c,water,unspecified,"Ammonia, as N",kg,0,0,0,0,0,0,0,0,0
c36f35d1-e815-4c85-8686-1a2d21264a2c,air,unspecified,Ammonium carbonate,kg,0,0,0,0,0,0,0,0,0
e9281783-ae84-4b78-bcea-1bbeda97c982,soil,unspecified,Ammonium carbonate,kg,0,0,0,0,0,0,0,0,0
35077041-0142-49f9-bc49-02c6d16a7abf,air,unspecified,Ammonium chloride,kg,0,0,0,0,0,0,0,0,0
e3edc996-b5bb-4465-b9e4-29eb368ab0e0,air,unspecified,Ammonium nitrate,kg,0,0,0,0,0,0,0,0,0
08a91e70-3ddc-11dd-954d-0050c2490048,air,unspecified,"Ammonium, ion",kg,0,0,0,0,0,0,0,0,0
fb005c47-7b90-41f3-a5ca-f0eb11db354a,water,unspecified,"Ammonium, ion",kg,0,0,0.7793,0,0,0,0,0,0
ffcd4d88-aeb9-491c-ae8c-98838ed38b4d,air,unspecified,Aniline,kg,0,0,0,0,0,0,0.0029101,37.6,0
